# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024fyi
# CHANNEL = B+R
# EXPNUM = 24_100_027_003
# MJD-OBS = 60409.361522
# DATE-OBS = 2024-04-09T08:40:37
# EXPTIME = 1800.0s
# AIRMASS = 1.05
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 12:29:38.33
# DEC = 32:45:21.92
# wl fl err
# [A] [erg/s/cm2/A]
4516.480000 4.429155e-16 1.594018e-17
4519.480000 4.752131e-16 1.768144e-17
4522.480000 4.844788e-16 1.706694e-17
4525.480000 4.377579e-16 1.514101e-17
4528.480000 4.201915e-16 1.599889e-17
4531.480000 4.370390e-16 1.723471e-17
4534.480000 4.495267e-16 1.638161e-17
4537.480000 4.489952e-16 1.511077e-17
4540.480000 4.482654e-16 1.639608e-17
4543.480000 4.393003e-16 1.730684e-17
4546.480000 4.404429e-16 1.592362e-17
4549.480000 4.465902e-16 1.509714e-17
4552.480000 4.579142e-16 1.674679e-17
4555.480000 4.362034e-16 1.722247e-17
4558.480000 4.335452e-16 1.558589e-17
4561.480000 4.320617e-16 1.510965e-17
4564.480000 4.283503e-16 1.704026e-17
4567.480000 4.557570e-16 1.753134e-17
4570.480000 4.432614e-16 1.555965e-17
4573.480000 4.333994e-16 1.548177e-17
4576.480000 4.384443e-16 1.748231e-17
4579.480000 3.892472e-16 1.686768e-17
4582.480000 3.903072e-16 1.479348e-17
4585.480000 4.038927e-16 1.514606e-17
4588.480000 3.939598e-16 1.684486e-17
4591.480000 4.125143e-16 1.643137e-17
4594.480000 4.307681e-16 1.483939e-17
4597.480000 4.301348e-16 1.562712e-17
4600.480000 4.460049e-16 1.692064e-17
4603.480000 4.064160e-16 1.583693e-17
4606.480000 4.017266e-16 1.450668e-17
4609.480000 3.902754e-16 1.557175e-17
4612.480000 3.837946e-16 1.641801e-17
4615.480000 3.996593e-16 1.534445e-17
4618.480000 4.011912e-16 1.441665e-17
4621.480000 3.962992e-16 1.594541e-17
4624.480000 3.927987e-16 1.648091e-17
4627.480000 3.983070e-16 1.508893e-17
4630.480000 4.046410e-16 1.464485e-17
4633.480000 4.109890e-16 1.654164e-17
4636.480000 3.904452e-16 1.669795e-17
4639.480000 3.883402e-16 1.477726e-17
4642.480000 3.866812e-16 1.467560e-17
4645.480000 4.183582e-16 1.667775e-17
4648.480000 3.856022e-16 1.632581e-17
4651.480000 4.065363e-16 1.453702e-17
4654.480000 4.209804e-16 1.487609e-17
4657.480000 4.261600e-16 1.656778e-17
4660.480000 4.214599e-16 1.606843e-17
4663.480000 3.944907e-16 1.435030e-17
4666.480000 3.943420e-16 1.506311e-17
4669.480000 3.909161e-16 1.634530e-17
4672.480000 4.300883e-16 1.574107e-17
4675.480000 4.454650e-16 1.473162e-17
4678.480000 4.459372e-16 1.584515e-17
4681.480000 4.598977e-16 1.657067e-17
4684.480000 4.236766e-16 1.522735e-17
4687.480000 4.072214e-16 1.416654e-17
4690.480000 4.187569e-16 1.568349e-17
4693.480000 3.996110e-16 1.620844e-17
4696.480000 3.862782e-16 1.478475e-17
4699.480000 3.917289e-16 1.424031e-17
4702.480000 3.989774e-16 1.591199e-17
4705.480000 3.831954e-16 1.607296e-17
4708.480000 3.753171e-16 1.447424e-17
4711.480000 3.762737e-16 1.432955e-17
4714.480000 3.694841e-16 1.616564e-17
4717.480000 3.392546e-16 1.580327e-17
4720.480000 2.958416e-16 1.365483e-17
4723.480000 2.450328e-16 1.347440e-17
4726.480000 2.312471e-16 1.499748e-17
4729.480000 2.876879e-16 1.484377e-17
4732.480000 3.696308e-16 1.366194e-17
4735.480000 4.052505e-16 1.460895e-17
4738.480000 3.943751e-16 1.597216e-17
4741.480000 3.923335e-16 1.542178e-17
4744.480000 3.660449e-16 1.380634e-17
4747.480000 3.555047e-16 1.457316e-17
4750.480000 3.535261e-16 1.557360e-17
4753.480000 3.552736e-16 1.457007e-17
4756.480000 3.208326e-16 1.331631e-17
4759.480000 2.985442e-16 1.450735e-17
4762.480000 3.003903e-16 1.518125e-17
4765.480000 3.601005e-16 1.426739e-17
4768.480000 4.198914e-16 1.420438e-17
4771.480000 4.658875e-16 1.625199e-17
4774.480000 4.645593e-16 1.650277e-17
4777.480000 4.211646e-16 1.447925e-17
4780.480000 4.234920e-16 1.427477e-17
4783.480000 4.572830e-16 1.654035e-17
4786.480000 4.775132e-16 1.675231e-17
4789.480000 4.790134e-16 1.467179e-17
4792.480000 4.922918e-16 1.481459e-17
4795.480000 4.486260e-16 1.644735e-17
4798.480000 4.372820e-16 1.628358e-17
4801.480000 4.362075e-16 1.494867e-17
4804.480000 4.361815e-16 1.506463e-17
4807.480000 4.322562e-16 1.624649e-17
4810.480000 4.272456e-16 1.557092e-17
4813.480000 4.114686e-16 1.407093e-17
4816.480000 4.067693e-16 1.491755e-17
4819.480000 3.938043e-16 1.599157e-17
4822.480000 3.982333e-16 1.500992e-17
4825.480000 3.813239e-16 1.390999e-17
4828.480000 3.306984e-16 1.496890e-17
4831.480000 3.089986e-16 1.542670e-17
4834.480000 3.068927e-16 1.431677e-17
4837.480000 3.561623e-16 1.408382e-17
4840.480000 4.219618e-16 1.616976e-17
4843.480000 4.618061e-16 1.774233e-17
4846.480000 4.735984e-16 1.529235e-17
4849.480000 4.747302e-16 1.469205e-17
4852.480000 4.711366e-16 1.662358e-17
4855.480000 4.550957e-16 1.670286e-17
4858.480000 4.349079e-16 1.456775e-17
4861.480000 4.111547e-16 1.452662e-17
4864.480000 4.010367e-16 1.630797e-17
4867.480000 4.034498e-16 1.610496e-17
4870.480000 3.951596e-16 1.429590e-17
4873.480000 4.011393e-16 1.482309e-17
4876.480000 4.029465e-16 1.645977e-17
4879.480000 4.106701e-16 1.595389e-17
4882.480000 4.208978e-16 1.460671e-17
4885.480000 4.387243e-16 1.558009e-17
4888.480000 3.986240e-16 1.661142e-17
4891.480000 3.944109e-16 1.565413e-17
4894.480000 3.981094e-16 1.449273e-17
4897.480000 3.976450e-16 1.561281e-17
5200.480000 4.000020e-16 2.719685e-17
5203.480000 4.165729e-16 2.727691e-17
5206.480000 4.394534e-16 2.747223e-17
5209.480000 3.990006e-16 2.773872e-17
5212.480000 4.078627e-16 2.769381e-17
5215.480000 4.370568e-16 2.680986e-17
5218.480000 4.245515e-16 2.618628e-17
5221.480000 3.772337e-16 2.515082e-17
5224.480000 3.498646e-16 2.428143e-17
5227.480000 3.653059e-16 2.369876e-17
5230.480000 4.013655e-16 2.354571e-17
5233.480000 3.829468e-16 2.283973e-17
5236.480000 3.691695e-16 2.227639e-17
5239.480000 4.109021e-16 2.220835e-17
5242.480000 4.345111e-16 2.195259e-17
5245.480000 3.910741e-16 2.097206e-17
5248.480000 3.677065e-16 2.034617e-17
5251.480000 3.522918e-16 1.985951e-17
5254.480000 3.978704e-16 1.987694e-17
5257.480000 4.105372e-16 1.976898e-17
5260.480000 3.856420e-16 1.921230e-17
5263.480000 3.705944e-16 1.861959e-17
5266.480000 3.866047e-16 1.838086e-17
5269.480000 3.940466e-16 1.838194e-17
5272.480000 3.820151e-16 1.827668e-17
5275.480000 3.925806e-16 1.808404e-17
5278.480000 4.339693e-16 1.815635e-17
5281.480000 4.630485e-16 1.820036e-17
5284.480000 4.440611e-16 1.793700e-17
5287.480000 4.279783e-16 1.777703e-17
5290.480000 4.162069e-16 1.773040e-17
5293.480000 4.053986e-16 1.777965e-17
5296.480000 4.300571e-16 1.802550e-17
5299.480000 4.423759e-16 1.812416e-17
5302.480000 4.512035e-16 1.862682e-17
5305.480000 4.273834e-16 1.904417e-17
5308.480000 3.947661e-16 1.900107e-17
5311.480000 3.610966e-16 1.857434e-17
5314.480000 3.729094e-16 2.003194e-17
5317.480000 4.007566e-16 2.142336e-17
5320.480000 4.094507e-16 2.081665e-17
5323.480000 4.245794e-16 2.055489e-17
5326.480000 4.573256e-16 2.022011e-17
5329.480000 4.066792e-16 1.992686e-17
5332.480000 3.989523e-16 2.002084e-17
5335.480000 4.033508e-16 2.048441e-17
5338.480000 4.102819e-16 2.040662e-17
5341.480000 4.064529e-16 1.987037e-17
5344.480000 3.806033e-16 1.906459e-17
5347.480000 3.596142e-16 1.831547e-17
5350.480000 3.758954e-16 1.796768e-17
5353.480000 3.769994e-16 1.763810e-17
5356.480000 3.935646e-16 1.718154e-17
5359.480000 3.851882e-16 1.708202e-17
5362.480000 3.690531e-16 1.856831e-17
5365.480000 3.863871e-16 1.699465e-17
5368.480000 4.057847e-16 1.616694e-17
5371.480000 4.097251e-16 1.561504e-17
5374.480000 4.120251e-16 1.635968e-17
5377.480000 4.275475e-16 1.655575e-17
5380.480000 4.115258e-16 1.654232e-17
5383.480000 3.931676e-16 1.471332e-17
5386.480000 3.951372e-16 1.403020e-17
5389.480000 3.923745e-16 1.328971e-17
5392.480000 4.047672e-16 1.319805e-17
5395.480000 3.942025e-16 1.308614e-17
5398.480000 3.844600e-16 1.295670e-17
5401.480000 3.881788e-16 1.285402e-17
5404.480000 3.797172e-16 1.269052e-17
5407.480000 3.711711e-16 1.262135e-17
5410.480000 3.798629e-16 1.270991e-17
5413.480000 3.931892e-16 1.282633e-17
5416.480000 4.159423e-16 1.296135e-17
5419.480000 4.193398e-16 1.313517e-17
5422.480000 3.993021e-16 1.337937e-17
5425.480000 3.825174e-16 1.416210e-17
5428.480000 3.920703e-16 1.537122e-17
5431.480000 4.198405e-16 1.446594e-17
5434.480000 4.331104e-16 1.396879e-17
5437.480000 4.254489e-16 1.401529e-17
5440.480000 4.260441e-16 1.429375e-17
5443.480000 4.213671e-16 1.446414e-17
